name,seed_cls,cathled,deep-rec,fight,free,light-rec,n_succ
abl_best,easy,0.161,0.0,0.0,0.768,0.071,56
abl_best,frontier,0.077,0.385,0.0,0.308,0.231,26
abl_best,strength,0.0,0.109,0.0,0.804,0.087,92
abl_copeak,easy,0.0,0.0,0.0,0.786,0.214,14
abl_copeak,frontier,0.0,0.333,0.0,0.333,0.333,6
abl_copeak,strength,0.0,0.0,0.0,0.81,0.19,21
abl_last,easy,0.0,0.036,0.0,0.929,0.036,28
abl_last,frontier,0.0,0.0,0.0,0.8,0.2,5
abl_last,strength,0.0,0.077,0.0,0.718,0.205,39
car_1545,easy,0.0,0.0,0.0,0.714,0.286,14
car_1545,frontier,0.0,0.429,0.0,0.286,0.286,7
car_1545,strength,0.043,0.043,0.0,0.783,0.13,23
car_best,easy,0.25,0.071,0.0,0.607,0.071,56
car_best,frontier,0.086,0.429,0.057,0.4,0.029,35
car_best,strength,0.043,0.054,0.0,0.793,0.109,92
car_div,easy,0.0,0.0,0.786,0.0,0.214,14
car_div,frontier,0.0,0.5,0.0,0.0,0.5,2
car_div,strength,0.0,0.0,0.667,0.0,0.333,3
car_early,easy,0.0,0.0,0.643,0.143,0.214,14
car_early,frontier,0.2,0.0,0.2,0.2,0.4,5
car_early,strength,0.438,0.125,0.062,0.375,0.0,16
car_peak,easy,0.071,0.0,0.0,0.929,0.0,28
car_peak,frontier,0.0,0.286,0.0,0.5,0.214,14
car_peak,strength,0.022,0.109,0.0,0.652,0.217,46
